unitid,institution_name_raw,institution_name_normalized,institution_state_raw,institution_state_normalized,tracker_name,tracker_state,match_method,accreditor,action_type,action_label_raw,action_status,action_date,action_year,accreditation_warning,accreditation_warning_or_notice,source_url,source_title,notes,source_page_url,source_page_modified,last_seen_at,institution_name,year,control_label,sector,level,urbanization,category,state,city,enrollment_pct_change_5yr,revenue_pct_change_5yr,revenue_decreased_5yr,enrollment_decreased_5yr,revenue_10pct_drop_last_3_of_5,enrollment_decline_last_3_of_5,ended_2024_at_loss,losses_last_3_of_5,loss_years_last_10,net_tuition_per_fte_change_5yr,tuition_dependence_pct,state_funding_pct_core_revenue,federal_grants_contracts_pell_adjusted_pct_core_revenue,pct_international_all,staff_total_headcount_pct_change_5yr,discount_pct_change_5yr,endowment_pct_change_5yr,liquidity,leverage
211477,Central Penn College,central penn college,,,Central Penn College,Pennsylvania,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,TRUE,TRUE,https://msche.box.com/shared/static/8lw1e1ed1h8uhiyw5o3x1c8e3l071xd8.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,Central Penn College,2024,Private for-profit,"Private for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, not primarily baccalaureate or above",Pennsylvania,Summerdale,-19.07250163291966,-15.1142576763709,Yes,Yes,No,Yes,Yes,Yes,6,-7.105252468192943,73.57532574030459,,,0.03228410008071025,-24.571428571428573,,,,0.36043641989847097
213367,La Salle University,la salle university,,,La Salle University,Pennsylvania,normalized_name_only,MSCHE,warning,Non-Compliance Warning,active,,,TRUE,TRUE,https://msche.box.com/shared/static/y49fd8vsunjnwikp8rwkte4ecic981ma.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,La Salle University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",Pennsylvania,Philadelphia,-34.70982142857143,-21.901766323529905,Yes,Yes,No,Yes,No,No,0,-5.775923065887965,52.84438323230658,0,0.00279685556964926,0.0344017094017094,-29.310344827586203,15.374690619303411,-19.463432122802455,0.02095639970511696,0.6747018933158382
,Rowan College at Burlington County,rowan college at burlington county,,,,,unmatched,MSCHE,warning,Non-Compliance Warning,active,,,TRUE,TRUE,https://msche.box.com/shared/static/dghqr4lm2fpqtz0n5avie8k12bts8zv5.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Warning,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186283,Rider University,rider university,,,Rider University,New Jersey,normalized_name_only,MSCHE,probation,Non-Compliance Probation,active,,,TRUE,TRUE,https://msche.box.com/shared/static/kjv0qwxl7sesejv0328yc1iglpgfkpdl.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Probation,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,Rider University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",New Jersey,Lawrenceville,-9.03725562523054,-20.1090984747019,Yes,Yes,No,Yes,No,No,0,-12.52427106592638,55.39523263100499,0.01608848136567227,0.01685962984872813,0.040551500405515,-34.55149501661129,6.847708718824657,0.3515992555358037,-0.1013289670706308,0.7164332950154191
190114,Metropolitan College of New York,metropolitan college of new york,,,Metropolitan College of New York,New York,normalized_name_only,MSCHE,show_cause,Non-Compliance Show Cause,active,,,TRUE,TRUE,https://msche.box.com/shared/static/m5rjci30fg9c01mzw7d4bfn8n756qb7d.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Show Cause,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,Metropolitan College of New York,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",New York,New York,-35.5067785668173,-35.35047049132082,Yes,Yes,No,Yes,No,No,0,24.14954033277868,82.89294095427259,0.00359688814412735,0.03333959140251665,0.06106106106106106,-42.333333333333336,-19.895621700392542,28.43996481707177,0.1896240709373545,0.7575562581532618
,Centro de Estudios Avanzados de Puerto Rico y El Caribe,centro de estudios avanzados de puerto rico y el caribe,,,,,unmatched,MSCHE,show_cause,Non-Compliance Show Cause,active,,,TRUE,TRUE,https://msche.box.com/shared/static/djzg27yhrtounh50ghx71fv78b5r6txm.pdf,Non-Compliance and Adverse Actions by Status - Middle States Commission on Higher Education,Non-Compliance Show Cause,https://www.msche.org/non-compliance-and-adverse-actions-by-status/,2026-02-11,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155140,Haskell Indian Nations University,haskell indian nations university,Kansas,Kansas,Haskell Indian Nations University,Kansas,normalized_name_plus_state,HLC,notice,On Notice,active,,,FALSE,TRUE,https://www.hlcommission.org/institution/1778/,Accreditation Actions | The Higher Learning Commission - On Notice,On Notice,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,Haskell Indian Nations University,2024,Public,"Public, 4-year or above",Four or more years,City: Small,"Degree-granting, not primarily baccalaureate or above",Kansas,Lawrence,31.66259168704156,30.11978457455559,No,No,No,No,Yes,Yes,4,-70.84843706281471,0.28745618085288405,0,0,0,27.27272727272727,21.651639834146017,,,
,Leech Lake Tribal College,leech lake tribal college,Minnesota,Minnesota,,,unmatched,HLC,notice,On Notice,active,,,FALSE,TRUE,https://www.hlcommission.org/institution/2834/,Accreditation Actions | The Higher Learning Commission - On Notice,On Notice,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maricopa Community Colleges – South Mountain Community College,maricopa community colleges south mountain community college,Arizona,Arizona,,,unmatched,HLC,notice,On Notice,active,,,FALSE,TRUE,https://www.hlcommission.org/institution/1943/,Accreditation Actions | The Higher Learning Commission - On Notice,On Notice,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pierpont Community and Technical College,pierpont community and technical college,West Virginia,West Virginia,,,unmatched,HLC,notice,On Notice,active,,,FALSE,TRUE,https://www.hlcommission.org/institution/2855/,Accreditation Actions | The Higher Learning Commission - On Notice,On Notice,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152381,Saint Mary-of-the-Woods College,st mary of the woods college,Indiana,Indiana,Saint Mary-of-the-Woods College,Indiana,normalized_name_plus_state,HLC,notice,On Notice,active,,,FALSE,TRUE,https://www.hlcommission.org/institution/1211/,Accreditation Actions | The Higher Learning Commission - On Notice,On Notice,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,Saint Mary-of-the-Woods College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Indiana,Saint Mary of the Woods,15.806715806715808,46.35560330388927,No,No,No,No,No,No,0,-8.503962047887647,50.58211500459727,0,0.00577643244373757,0.01626591230551626,18.0327868852459,50.335025784820395,-11.842070982003422,-0.2674521423825273,0.8125592687076679
,Missouri State University-West Plains,missouri state university west plains,Missouri,Missouri,,,unmatched,HLC,probation,On Probation,active,,,TRUE,TRUE,https://www.hlcommission.org/institution/2095/,Accreditation Actions | The Higher Learning Commission - On Probation,On Probation,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127714,Nazarene Bible College,nazarene bible college,Colorado,Colorado,Nazarene Bible College,Colorado,normalized_name_plus_state,HLC,probation,On Probation,active,,,TRUE,TRUE,https://www.hlcommission.org/institution/2866/,Accreditation Actions | The Higher Learning Commission - On Probation,On Probation,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,Nazarene Bible College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",Colorado,Colorado Springs,-22.388059701492537,-28.96471827582036,Yes,Yes,No,Yes,No,No,0,-35.25581168802785,26.89381167951448,0,0,0,-26.973684210526315,-100,-1.5947147462517766,-0.3295387739706506,0.6643156530335624
,Southeast Arkansas College,southeast arkansas college,Arkansas,Arkansas,,,unmatched,HLC,probation,On Probation,active,,,TRUE,TRUE,https://www.hlcommission.org/institution/2090/,Accreditation Actions | The Higher Learning Commission - On Probation,On Probation,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206525,Wittenberg University,wittenberg university,Ohio,Ohio,Wittenberg University,Ohio,normalized_name_plus_state,HLC,probation,On Probation,active,,,TRUE,TRUE,https://www.hlcommission.org/institution/1610/,Accreditation Actions | The Higher Learning Commission - On Probation,On Probation,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,Wittenberg University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Small,"Degree-granting, primarily baccalaureate or above",Ohio,Springfield,-30.319959370238696,-22.533789440515857,Yes,Yes,No,Yes,No,No,0,-8.623386101874974,39.65140870856854,0,0.01293319517969569,0.00801749271137026,-20.698254364089777,7.5492504076064835,-18.90892258987774,0.1496715433079375,0.27036344089650843
,Mesalands Community College,mesalands community college,New Mexico,New Mexico,,,unmatched,HLC,removed,Removal of Sanction,resolved,,,FALSE,FALSE,https://www.hlcommission.org/institution/2043/,Accreditation Actions | The Higher Learning Commission - Removal of Sanction (past six months),Removal of Sanction (past six months),https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Morton College,morton college,Illinois,Illinois,,,unmatched,HLC,removed,Removal of Sanction,resolved,,,FALSE,FALSE,https://www.hlcommission.org/institution/1127/,Accreditation Actions | The Higher Learning Commission - Removal of Sanction (past six months),Removal of Sanction (past six months),https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206817,Bacone College,bacone college,Oklahoma,Oklahoma,Bacone College,Oklahoma,normalized_name_plus_state,HLC,adverse_action,Withdrawal of Accreditation,active,,,FALSE,FALSE,https://www.hlcommission.org/institution/1614/,Accreditation Actions | The Higher Learning Commission - Withdrawal of Accreditation,Withdrawal of Accreditation,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,Bacone College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Town: Distant,Not reported,Oklahoma,Muskogee,,,,,Yes,Yes,,No,0,,,,,,,,,,
260992,Northwestern College,northwestern college,Illinois,Illinois,Northwestern College,Illinois,normalized_name_plus_state,HLC,adverse_action,Withdrawal of Accreditation,active,,,FALSE,FALSE,https://www.hlcommission.org/institution/1812/,Accreditation Actions | The Higher Learning Commission - Withdrawal of Accreditation,Withdrawal of Accreditation,https://www.hlcommission.org/for-students/accreditation-actions/,2026-03-04,2026-03-21T23:48:18Z,Northwestern College,2024,Private for-profit,"Private for-profit, 4-year or above",Four or more years,Suburb: Large,Not reported,Illinois,Oak Lawn,,,,,No,No,,No,0,,,,,,,,,,
219833,Christian Brothers University,christian brothers university,Tennessee,Tennessee,Christian Brothers University,Tennessee,normalized_name_plus_state,SACSCOC,removed,removed from Probation Good Cause,resolved,2025-12-01,2025,FALSE,FALSE,https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,December 2025 Accreditation Actions and Public Disclosure Statements - SACSCOC,"Christian Brothers University, Memphis, Tennessee (removed from Probation Good Cause)",https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,,2026-03-21T23:48:19Z,Christian Brothers University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",Tennessee,Memphis,1.5450643776824031,22.544884102838857,No,No,No,Yes,No,No,0,9.569069350569428,49.36225913600179,0,0.01345111274243043,0.28402366863905326,-6.905370843989769,-9.963782251670212,7.48006853077187,0.42697617982333774,0.15177477592720648
156745,Georgetown College,georgetown college,Kentucky,Kentucky,Georgetown College,Kentucky,normalized_name_plus_state,SACSCOC,removed,removed from Probation Good Cause,resolved,2025-12-01,2025,FALSE,FALSE,https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,December 2025 Accreditation Actions and Public Disclosure Statements - SACSCOC,"Georgetown College, Georgetown, Kentucky (removed from Probation Good Cause)",https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,,2026-03-21T23:48:19Z,Georgetown College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Town: Fringe,"Degree-granting, primarily baccalaureate or above",Kentucky,Georgetown,-15.069967707212056,97.6164048628097,No,Yes,No,Yes,No,No,0,-41.55525201630749,15.246460059088756,0,0.00992184919843188,0.03422053231939163,-35.656836461126005,30.895940481705193,-19.486162359116893,0.20989156394146355,0.10690779132493232
198613,Guilford College,guilford college,North Carolina,North Carolina,Guilford College,North Carolina,normalized_name_plus_state,SACSCOC,removed,removed from Probation for Good Cause,resolved,2025-12-01,2025,FALSE,FALSE,https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,December 2025 Accreditation Actions and Public Disclosure Statements - SACSCOC,"Guilford College, Greensboro, North Carolina (removed from Probation for Good Cause)",https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,,2026-03-21T23:48:19Z,Guilford College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",North Carolina,Greensboro,-23.176470588235293,8.446768411005777,No,Yes,No,Yes,No,No,0,-2.0496753384034903,31.579680138697075,0,0.03403412963453801,0.02067381316998468,-31.207289293849666,-0.8147551434537862,-3.1829387002606166,0.16194409192796094,0.4023013198232974
157058,Kentucky State University,kentucky state university,Kentucky,Kentucky,Kentucky State University,Kentucky,normalized_name_plus_state,SACSCOC,probation,placed on Probation Good Cause,active,2025-12-01,2025,TRUE,TRUE,https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,December 2025 Accreditation Actions and Public Disclosure Statements - SACSCOC,"Kentucky State University, Frankfort, Kentucky (placed on Probation Good Cause)",https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,,2026-03-21T23:48:19Z,Kentucky State University,2024,Public,"Public, 4-year or above",Four or more years,Town: Distant,"Degree-granting, primarily baccalaureate or above",Kentucky,Frankfort,-20.33898305084746,72.20272171355062,No,Yes,No,Yes,No,No,6,114.7339584961439,18.9379902370485,0.26598064692602685,0.0647827969981575,0.03593380614657211,-10.619469026548671,-81.8205070732696,21.410695612928286,-0.23634969867425193,0.8277514029188016
199582,Saint Augustine’s University,st augustine s university,North Carolina,North Carolina,Saint Augustine's University,North Carolina,normalized_name_plus_state,SACSCOC,adverse_action,removed from membership,active,2025-12-01,2025,FALSE,FALSE,https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,December 2025 Accreditation Actions and Public Disclosure Statements - SACSCOC,"Saint Augustine’s University, Raleigh, North Carolina (removed from membership)",https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,,2026-03-21T23:48:19Z,Saint Augustine's University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",North Carolina,Raleigh,15.933412604042807,-29.3109180206312,Yes,No,No,No,No,No,0,-46.28624025117838,25.098044687994815,0,0.3253079099698134,0.05743589743589743,-14.82889733840304,-100,-33.799933145737285,0.34346471832039355,0.5547116724416108
234164,Virginia Union University,virginia union university,Virginia,Virginia,Virginia Union University,Virginia,normalized_name_plus_state,SACSCOC,removed,removed from Probation for Good Cause,resolved,2025-12-01,2025,FALSE,FALSE,https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,December 2025 Accreditation Actions and Public Disclosure Statements - SACSCOC,"Virginia Union University, Richmond, Virginia (removed from Probation for Good Cause)",https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,,2026-03-21T23:48:19Z,Virginia Union University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Midsize,"Degree-granting, primarily baccalaureate or above",Virginia,Richmond,9.13884007029877,29.341992552578855,No,No,No,No,No,No,0,42.97955927695233,40.63838526607121,0,0.2254165200358215,0.01825013419216318,30.386740331491712,-39.10774407605367,-4.554256082269005,0.21856112154287008,0.31316751088125505
134945,Jacksonville University,jacksonville university,Florida,Florida,Jacksonville University,Florida,normalized_name_plus_state,SACSCOC,removed,removed from Warning,resolved,2025-12-01,2025,FALSE,FALSE,https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,December 2025 Accreditation Actions and Public Disclosure Statements - SACSCOC,"Jacksonville University, Jacksonville, Florida (removed from Warning)",https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,,2026-03-21T23:48:19Z,Jacksonville University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",Florida,Jacksonville,20.469240716792907,21.575803245133752,No,No,No,No,No,No,0,1.2335408912458412,58.1916760166167,0,0.00857251813526824,0.04309155037570925,8.962868117797695,17.395624811870945,41.41654135486333,0.081995266247832,0.7586455407560412
,Northeastern Technical College,northeastern technical college,South Carolina,South Carolina,,,unmatched,SACSCOC,removed,removed from Warning,resolved,2025-12-01,2025,FALSE,FALSE,https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,December 2025 Accreditation Actions and Public Disclosure Statements - SACSCOC,"Northeastern Technical College, Cheraw, South Carolina (removed from Warning)",https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2025-accreditation-actions-and-public-disclosure-statements/,,2026-03-21T23:48:19Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
