organization_name,organization_state,agencies,disrupted_award_remaining
Peking University,,nih,10677598.75
Baylor College of Medicine,Texas,nih,6781715.96
University of Wisconsin System,Wisconsin,epa,6321695
Icahn School of Medicine at Mount Sinai,New York,nih,6087210.07966161
Spelman College,Georgia,nih; nsf,5097159.93
University of Kansas Center for Research Inc,Kansas,nsf,4385758.25
University of Texas Health Sciences Center,Texas,nih,4151242.83
University of North Carolina Greensboro,North Carolina,nih; nsf,3668806.26
University of Hawaii,Hawaii,nsf,3317266.0700000003
"University of California, San Francisco",California,cdc; nih; samhsa,3089155.36
University of Alabama,Alabama,nsf,2973467.37
University of Puerto Rico Medical Sciences Campus,Puerto Rico,nsf,2814957.49
University of The Virgin Islands,Virgin Islands,nsf,2236928.72
University of Central Florida,Florida,epa; nsf,2171264.05
CUNY Borough of Manhattan Community College,New York,nsf,2095291.61
California Polytechnic State University Foundation,California,nsf,1884422.9
University of Alaska Anchorage Campus,Alaska,nsf,1853520.18
Hinds Community College-Utica,Mississippi,nsf,1852802.44
Fielding Graduate University,California,nsf,1680111.29
Texas Tech University System,Texas,epa,1662466.05
Mahidol University,,nih,1514736
Research Foundation of the City University of New York,New York,epa; nsf,1500995.376489945
Medical College of Wisconsin,Wisconsin,nih,1492207.94
Claremont Graduate University,California,nih; nsf,1486340.9400000002
University of Puerto Rico,Puerto Rico,nsf,1480771.16
St. Petersburg College,Florida,nsf,1418739.09
University of Illinois,Illinois,epa,1338145.12
Dona Ana Branch Community College,New Mexico,nsf,1327873.46
Wake Forest University Health Sciences,North Carolina,nih,1279665.11
"Teachers College, Columbia University",New York,nsf,1267366.4
Loyola University of Chicago,Illinois,nih; nsf,1264450.9546617921
University of Colorado at Denver-Downtown Campus,Colorado,nsf,1159696.34
Bank Street College of Education,New York,nsf,1139972.12
Galveston College,Texas,nsf,1099454.45
University of Puerto Rico-Rio Piedras,Puerto Rico,nsf,1062750.94
University of Puerto Rico-Arecibo Campus,Puerto Rico,nsf,982868.16
Utah State Higher Education System--University of Utah,Utah,nih,914575.9500000001
University of Maine System,Maine,epa,879131.1
Rush University Medical Center,Illinois,nih,871022.83
Vanderbilt University Medical Center,Tennessee,nih,832534.4
CUNY Kingsborough Community College,New York,nsf,788596.14
University of Texas Health Sciences Center Houston,Texas,nih,774778.0900000001
Albert Einstein College of Medicine,New York,nih,767628.12
Housatonic Community College,Connecticut,nsf,739974.02
University of Massachusetts,Massachusetts,epa,738700.8899999999
Northern Virginia Community College,Virginia,nsf,712037.037037037
City Colleges of Chicago Harry S Truman College,Illinois,nsf,678212.9299999999
Santa Monica College,California,nsf,646696.66
North Dakota State University Fargo,North Dakota,nsf,642099.06
University of Mass at Boston,Massachusetts,epa,622246.52
The Leland Stanford Junior University,California,epa,587857.89
Boston University Medical Campus,Massachusetts,nih,547870.86
Appalachian College Association,Tennessee,nsf,526168
Middlesex Community College,Massachusetts,nsf,499878.65
Utah State University,Utah,nsf,496095.75
Rio Hondo College,California,nsf,486129
University of Missouri-Saint Louis,Missouri,nsf,455864.86
The Texas A&M University System HSC,Texas,nsf,449944.73
Southwestern College,California,nsf,393156.48
University of Puerto Rico Mayaguez,Puerto Rico,nsf,384053.57
San Jacinto College District,Texas,nsf,377145.22
University of Kansas Medical Center,Kansas,nih,374022
University of Houston System,Texas,epa,369536.61
University of the Pacific-Stockton,California,nih,362788.93
"The Medical College of Wisconsin, Inc.",Wisconsin,epa,359999.93
Georgia Piedmont Technical College,Georgia,nsf,331311.02
Texas Tech University Health Sciences Center at El Paso,Texas,nih,316648.67
University of Alaska Fairbanks Campus,Alaska,nsf,299707
University of Vermont & State Agricultural College,Vermont,nsf,291708.581578947
West Hills Community College,California,nsf,278208.18
University of Connecticut Sch of Med/Dnt,Connecticut,nih,277412.91000000003
University of Pittsburgh - of the Commonwealth System of Higher Education,Pennsylvania,cdc,262813.76
Alamo Community College District - St. Philip's College,Texas,nsf,246087.99
China Medical University,,nih,239000
New York University d/b/a NYU Long Island School of Medicine,New York,nih,219376.3
University of North Carolina at Wilmington,North Carolina,nsf,191816.35
Meharry Medical College,Tennessee,nih,184206.46
Columbus State Community College,Ohio,nsf,181187.214611872
SUNY Onondaga Community College,New York,nsf,181187.214611872
Allan Hancock College,California,nsf,176288.57
University of North Carolina Charlotte,North Carolina,nih,168710.56
Riverside Community College District/Riverside City College,California,nsf,147749.96
Lehigh Carbon Community College,Pennsylvania,nsf,141740.99
Rockefeller University,New York,nih,123961.71000000002
University of Puerto Rico Medical Sciences,Puerto Rico,nih,115301.82
Weber State University,Utah,nsf,113141.46
San Antonio College,Texas,nsf,110047.55
University of Puerto Rico at Carolina,Puerto Rico,nsf,102583.736625514
Georgia Southern University Research & Service Foundation Inc,Georgia,epa,86899.53
CUNY Queensborough Community College,New York,nsf,83864.92
University of Guam,Guam,epa; nsf,80072.22
Hartford Parent University Inc,Connecticut,epa,76778.55
Cuesta College,California,nsf,74812.56
Massachusetts Bay Community College,Massachusetts,nsf,70350.61
Kentucky Community & Technical College System,Kentucky,nsf,63530.28
LSU Health Science Center,Louisiana,nih,59243.96
Morehouse School of Medicine,Georgia,nih,43554.3000000007
The Research Foundation for the State University of New York,New York,epa,41520.22
Yakima Valley Community College,Washington,nsf,41073.97
University of Puerto Rico at Humacao,Puerto Rico,nih,40506.41
Ivy Tech Community College of Indiana,Indiana,nsf,39149.29
University of Alabama in Tuscaloosa,Alabama,nih,38833.8100000001
University of Connecticut Storrs,Connecticut,nih,36132.15
David Lipscomb University,Tennessee,nsf,33145.41
Fashion Institute of Technology,New York,epa,28020
University of Oregon Eugene,Oregon,nsf,26462.34
University of Mississippi Medical Center,Mississippi,nih,24172.14
University of the Virgin Islands,Virgin Islands,nih,16246.74
Northwest Indian College,Washington,nsf,12668.37
New York Medical College,New York,nih,7680.83000000002
Ponce School of Medicine,Puerto Rico,nih,6646.099999999837
University of Maryland Es,Maryland,epa,6642.13
Henry Ford Health + Michigan State University Health Sciences,Michigan,nih,6559.88
University of New Mexico Health Sciences Center,New Mexico,nih,3380.39
Texas A&M University Health Science Center,Texas,nih,2425.2900000000013
City College of San Francisco,California,nsf,1770.39000000001
University of Miami Coral Gables,Florida,nih,1687
